Variable,Coefficient,Std_Error,Z_Score,P_Value,Odds_Ratio,OR_95%_CI_Lower,OR_95%_CI_Upper,Effect,Significance
loan_percent_income,10.506204072530558,0.42974907195344036,24.44729903609615,5.3765122331666606e-132,36541.50703562821,15738.982749281868,84839.1384440517,Increases,***
const,-4.307148206093059,0.19577323803711263,-22.000699632278415,2.835708358233459e-107,0.013471913986796634,0.00917875455773381,0.019773103782879282,Decreases,***
loan_grade_enc,0.8703914697962216,0.019157797012499055,45.43275352736826,0.0,2.3878454399489484,2.2998460540004917,2.4792119608036023,Increases,***
cb_person_default_enc,-0.08632056268173707,0.04920655535585938,-1.754249247025544,0.0793878081019896,0.9173001318937974,0.8329635367529322,1.0101757097945574,Decreases,ns
home_ownership_enc,0.0733196479438229,0.03272120691195399,2.2407378841835186,0.025043058610388,1.0760744469310723,1.0092284039417616,1.1473480243079177,Increases,*
person_emp_length,-0.025922532823352263,0.00543163676838861,-4.772508532643032,1.8194539769920677e-06,0.9744105715208977,0.964092011907737,0.9848395694233246,Decreases,***
cb_person_cred_hist_length,-0.012276866013882521,0.010396286642125373,-1.1808895268563593,0.237646612396612,0.9877981872520802,0.9678737847783391,1.0081327483851208,Decreases,ns
person_age,0.007055284219381409,0.007597634532918881,0.9286158986474558,0.3530881795198435,1.0070802313723306,0.9921945425677875,1.0221892470766691,Increases,ns
loan_amnt,-6.777371596074522e-05,8.294982547994498e-06,-8.170447082752581,3.07248692844402e-16,0.9999322285806257,0.9999159716488248,0.9999484857767365,Decreases,***
person_income,-1.0970772975630924e-05,1.730586627964686e-06,-6.339337654846823,2.3075502039221436e-10,0.9999890292872031,0.9999856373803769,0.9999924212055344,Decreases,***
