person_age,person_income,person_home_ownership,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
21,9600,0,5.0,2.0,1000,11.14,0,0.1,0,2,1,0,0,0,0
25,9600,2,1.0,3.0,5500,12.87,1,0.57,0,3,0,0,1,0,0
23,65500,1,4.0,3.0,35000,15.23,1,0.53,0,2,0,0,1,0,0
24,54400,1,8.0,3.0,35000,14.27,1,0.55,1,4,0,0,1,0,0
21,9900,0,2.0,1.0,2500,7.14,1,0.25,0,2,0,0,0,0,1
26,77100,1,8.0,2.0,35000,12.42,1,0.45,0,3,1,0,0,0,0
24,78956,1,5.0,2.0,35000,11.11,1,0.44,0,4,0,0,1,0,0
24,83000,1,8.0,1.0,35000,8.9,1,0.42,0,2,0,0,0,1,0
21,10000,0,6.0,4.0,1600,14.74,1,0.16,0,3,0,0,0,0,1
22,85000,1,6.0,2.0,35000,10.37,1,0.41,0,4,0,0,0,0,1
21,10000,0,2.0,1.0,4500,8.63,1,0.45,0,2,0,1,0,0,0
23,95000,1,2.0,1.0,35000,7.9,1,0.37,0,2,0,0,0,0,1
26,108160,1,4.0,5.0,35000,18.39,1,0.32,0,4,1,0,0,0,0
23,115000,1,2.0,1.0,35000,7.9,0,0.3,0,4,1,0,0,0,0
23,120000,1,0.0,1.0,35000,7.9,0,0.29,0,4,1,0,0,0,0
23,92111,1,7.0,6.0,35000,20.25,1,0.32,0,4,0,0,1,0,0
23,113000,1,8.0,4.0,35000,18.25,1,0.31,0,4,0,0,0,0,0
24,10800,2,8.0,2.0,1750,10.99,1,0.16,0,2,1,0,0,0,0
25,137000,1,9.0,5.0,34800,16.77,0,0.25,1,2,0,0,0,1,0
22,65000,1,4.0,4.0,34000,17.58,1,0.52,0,4,1,0,0,0,0
24,10980,0,0.0,1.0,1500,7.29,0,0.14,0,3,0,0,0,1,0
22,80000,1,3.0,4.0,33950,14.54,1,0.42,1,4,0,0,0,1,0
24,67746,1,8.0,3.0,33000,12.68,1,0.49,0,3,0,1,0,0,0
21,11000,2,3.0,5.0,4575,17.74,1,0.42,1,3,0,0,0,0,1
23,11000,0,0.0,1.0,1400,9.32,0,0.13,0,3,0,0,0,1,0
24,65000,1,6.0,2.0,32500,9.99,1,0.5,0,3,0,1,0,0,0
21,11389,3,5.0,3.0,4000,12.84,1,0.35,1,2,1,0,0,0,0
21,11520,0,5.0,2.0,2000,11.12,1,0.17,0,3,0,0,1,0,0
25,120000,1,2.0,1.0,32000,6.62,0,0.27,0,2,0,0,0,0,1
26,95000,1,7.0,3.0,31050,14.17,1,0.33,1,3,0,1,0,0,0
21,12000,0,5.0,1.0,2500,7.51,1,0.21,0,4,1,0,0,0,0
22,48000,1,1.0,5.0,30000,18.39,1,0.63,0,2,1,0,0,0,0
