person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,log_person_income,log_loan_amnt,income_to_loan_ratio,employment_to_age_ratio,credit_history_to_age_ratio,default_on_file_binary,loan_grade_numeric,income_group,loan_amount_group,loan_percent_income_group,age_group
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,9.169622538697624,6.90875477931522,9.6,0.23809523809523808,0.09523809523809523,0,1,Low,Small,Low Burden,Young
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,9.169622538697624,8.612685172875459,1.7454545454545454,0.04,0.12,0,2,Low,Medium,Very High Burden,Young
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,11.089820688682373,10.463131911491967,1.8714285714285714,0.17391304347826086,0.08695652173913043,0,2,Middle,Very Large,Very High Burden,Young
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,10.904137815028022,10.463131911491967,1.5542857142857143,0.3333333333333333,0.16666666666666666,1,2,Middle,Very Large,Very High Burden,Young
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,9.200391041122515,7.824445930877619,3.96,0.09523809523809523,0.09523809523809523,0,0,Low,Small,High Burden,Young
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,11.252871529635922,10.463131911491967,2.202857142857143,0.3076923076923077,0.11538461538461539,0,1,Upper-Middle,Very Large,Very High Burden,Adult
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,11.276658679464603,10.463131911491967,2.2558857142857143,0.20833333333333334,0.16666666666666666,0,1,Upper-Middle,Very Large,Very High Burden,Young
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,11.326607934898927,10.463131911491967,2.3714285714285714,0.3333333333333333,0.08333333333333333,0,0,Upper-Middle,Very Large,Very High Burden,Young
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,9.210440366976517,7.3783837129967145,6.25,0.2857142857142857,0.14285714285714285,0,3,Low,Small,Moderate Burden,Young
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,11.350418300109132,10.463131911491967,2.4285714285714284,0.2727272727272727,0.18181818181818182,0,1,Upper-Middle,Very Large,Very High Burden,Young
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,9.210440366976517,8.412054873292933,2.2222222222222223,0.09523809523809523,0.09523809523809523,0,0,Low,Small,Very High Burden,Young
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,11.461642696843066,10.463131911491967,2.7142857142857144,0.08695652173913043,0.08695652173913043,0,0,Upper-Middle,Very Large,Very High Burden,Young
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,11.591376136796182,10.463131911491967,3.0902857142857143,0.15384615384615385,0.15384615384615385,0,4,High,Very Large,High Burden,Adult
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,11.652696102959753,10.463131911491967,3.2857142857142856,0.08695652173913043,0.17391304347826086,0,0,High,Very Large,High Burden,Young
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,11.695255355062795,10.463131911491967,3.4285714285714284,0.0,0.17391304347826086,0,0,High,Very Large,High Burden,Young
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,11.430760506915592,10.463131911491967,2.631742857142857,0.30434782608695654,0.17391304347826086,0,5,Upper-Middle,Very Large,High Burden,Young
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,11.635151947212842,10.463131911491967,3.2285714285714286,0.34782608695652173,0.17391304347826086,0,3,High,Very Large,High Burden,Young
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,9.287394001418473,7.467942332285852,6.171428571428572,0.3333333333333333,0.08333333333333333,0,1,Low,Small,Moderate Burden,Young
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,11.827743504053695,10.457401400981889,3.9367816091954024,0.36,0.08,1,4,High,Very Large,High Burden,Young
